Start_time,Depthsum,Depths
2018.05.25,269,14
2018.05.26,2036589,102542
2018.05.27,1458180,73442
2018.05.28,3319303,167058
2018.05.29,6170691,310222
2018.05.30,4440978,222362
2018.05.31,4905239,241577
2018.06.01,9164920,460830
2018.06.02,2785768,140294
2018.06.03,7854083,394312
2018.06.04,6835209,342858
2018.06.05,8196056,410946
2018.06.06,7094940,354736
2018.06.07,5459465,274024
2018.06.08,7622489,393108
2018.06.09,7194430,369874
2018.06.10,6516754,326616
2018.06.11,8513077,426250
2018.06.12,6889227,344800
2018.06.13,7608627,381980
2018.06.14,3749279,188228
2018.06.15,316632,15880
2018.06.16,2593033,130273
2018.06.17,6374012,319768
2018.06.18,4394216,220524
2018.06.19,2513094,130112
2018.06.20,11582,618
2018.06.21,2776399,139512
2018.06.22,4437772,222692
2018.06.23,7842624,392494
2018.06.24,2016602,99956
2018.06.25,3247443,162386
2018.06.26,1412657,71016
2018.06.27,4685733,235339
2018.06.28,3229341,162000
2018.06.29,3116109,156034
2018.06.30,2522184,137216
2018.07.01,4333401,217340
2018.07.02,5897873,295842
2018.07.03,10992159,550770
2018.07.04,4761759,237310
2018.07.05,4451904,222568
2018.07.06,1758244,87912
2018.07.07,2170974,107728
2018.07.08,4833169,240233
2018.07.09,5563145,276730
2018.07.10,685953,34944
2018.07.11,5446888,271358
2018.07.12,3188059,159416
2018.07.13,6769420,337958
2018.07.14,3045589,152552
2018.07.15,540963,27178
2018.07.16,603350,30325
2018.07.17,8682777,435334
2018.07.18,742945,37278
2018.07.19,2295740,114798
2018.07.20,8378675,420936
2018.07.21,8975912,451903
2018.07.22,9069669,455500
2018.07.23,11806391,584845
2018.07.24,6204955,308905
2018.07.25,12763233,642046
2018.07.26,15486354,779090
2018.07.27,22333145,1125598
2018.07.28,7561845,377446
2018.07.29,4503926,224580
2018.07.30,4572177,227738
2018.07.31,2592159,129234
2018.08.01,3780977,187626
2018.08.02,6053260,302538
2018.08.03,4716142,235368
2018.08.04,6544036,326676
2018.08.05,9356611,466980
2018.08.06,6501532,325160
2018.08.07,505611,25308
2018.08.08,7703375,385767
2018.08.09,5030435,250876
2018.08.10,6524251,326956
2018.08.11,5631767,281990
2018.08.12,2953968,146520
2018.08.13,4081885,203596
2018.08.14,5847724,290736
2018.08.15,6356715,315566
2018.08.16,10435099,520054
2018.08.17,5894809,293040
2018.08.18,1310187,64026
2018.08.19,950426,46958
2018.08.20,3351869,165630
2018.08.21,2218892,109780
2018.08.22,1528105,75580
2018.08.23,3065822,151758
2018.08.24,7888402,390230
2018.08.25,6389878,316204
2018.08.26,4652727,230268
2018.08.27,7066506,349854
2018.08.28,1498916,74262
2018.08.29,3633093,179382
2018.08.30,2853699,140954
2018.08.31,3668962,180410
2018.09.01,4972242,245286
2018.09.02,6671627,329636
2018.09.03,4566516,224964
2018.09.04,3843008,188919
2018.09.05,85443,4234
2018.09.06,2227093,110182
2018.09.07,1586975,78056
2018.09.08,8139726,401003
2018.09.09,1577484,76514
2018.09.10,651854,31464
2018.09.11,3753106,185127
2018.09.12,7703419,380034
2018.09.13,3257911,159452
2018.09.14,4818736,237496
2018.09.15,8611066,426103
2018.09.16,5592545,266080
2018.09.17,1152158,52639
2018.09.18,1060371,52166
2018.09.19,745656,37034
2018.09.20,6794177,337132
2018.09.21,4931918,244658
2018.09.22,3111271,154314
2018.09.23,1934704,96176
2018.09.24,1516215,75171
2018.09.25,3834730,190324
2018.09.26,2016409,99884
2018.09.27,1632742,80976
2018.09.28,3674196,180956
2018.09.29,6891834,341118
2018.10.01,15456,778
2018.10.02,6036716,298344
2018.10.03,6009704,300345
2018.10.04,7597437,381717
2018.10.05,10075247,507664
2018.10.06,4754101,239358
2018.10.07,3621186,196762
2018.10.08,4608889,244664
2018.10.09,5154633,254588
2018.10.10,10515363,519132
2018.10.11,4707501,232590
2018.10.12,2122511,105336
2018.10.13,6695618,330606
2018.10.14,4087831,201974
2018.10.15,2284176,112552
2018.10.16,5622935,278418
2018.10.17,6459088,319866
2018.10.18,4289784,212560
2018.10.19,2662234,131696
2018.10.20,4951158,245286
2018.10.21,8726905,432138
2018.10.22,4422878,219054
2018.10.23,7910921,391659
2018.10.24,5877649,291075
2018.10.25,4918578,243356
2018.10.26,8700844,432422
2018.10.27,6755291,341898
2018.10.28,10547860,535829
2018.10.29,3535164,179430
2018.10.30,8400858,426013
2018.10.31,6959510,353158
2018.11.01,8591090,435408
2018.11.02,5094005,251020
2018.11.03,8190524,398004
